idx,direction,label,fvg_present,fvg_size_atr,fvg_distance,fvg_mitigated,ob_present,ob_size_atr,ob_distance,ob_vol_ratio,bos_count,choch_count,swing_count,trend_align,nearby_liq_count,body_ratio,vol_ratio,upper_wick_atr,lower_wick_atr,candle_align,dist_to_high_atr,dist_to_low_atr,atr_val
97,-1,0,1,0.01912754952668579,0.0,1,0,0.0,99.0,1.0,0,0,6,0,26,0.4198084677398203,2.800127712668922,0.1308187762271861,1.8350492827168947,1,3.770518200448921,5.194325168341959,585.5428571428565
125,-1,0,1,0.3860126966833543,0.0,1,0,0.0,99.0,1.0,0,0,6,0,26,0.530034129674728,0.7454048521849662,0.056904607261836763,0.34700077521004896,1,3.358251796601655,4.094491818391344,340.9214285714282
134,1,1,1,0.169530675812823,0.0,1,0,0.0,99.0,1.0,1,0,6,0,26,0.5482436638262325,1.0856658453375394,0.49291288979105385,0.00489973051482168,1,4.980086095264762,7.469149196794175,204.09285714285735
159,-1,0,1,0.39599612528252587,0.0,1,0,0.0,99.0,1.0,0,0,6,0,26,0.7276302851380997,2.362616541324372,0.1184371972876849,0.5076525670003372,1,2.102034226670977,4.6787213432354005,221.21428571428518
166,-1,0,1,0.3068295722374278,0.0,1,0,0.0,99.0,1.0,0,0,6,0,26,0.7852105150505256,1.6655041994982103,0.0003792701758408926,0.38078725652209694,1,2.460325630536649,1.7446428087665544,263.66428571428645
174,1,1,1,0.3928489283847275,0.0,1,0,0.0,99.0,1.0,1,0,6,0,26,0.3134814470127557,2.7040980177552667,1.5547098797699905,0.17300575013068054,1,1.7180554103502397,2.171792995295352,341.60714285714283
192,-1,0,1,0.08138017263125571,0.0,1,0,0.0,99.0,1.0,0,0,6,0,26,0.3155033702944566,1.250152306958935,0.3084769185211206,0.658258113339994,1,0.9667350318611034,5.411474384987448,651.2642857142855
200,-1,0,1,0.11685015727767725,0.0,1,0,0.0,99.0,1.0,0,0,6,0,26,0.7393753200015485,0.4977197209761587,0.12585787818130528,0.12886045181584188,1,1.9011295396053793,8.49252931083784,399.6571428571437
213,-1,0,1,0.428075527785117,0.0,1,0,0.0,99.0,1.0,0,0,6,1,26,0.3220104268482623,7.831528644316745,2.004028670049967,1.4141414141414124,1,2.54874006277685,3.1378059393548203,730.4785714285723
223,-1,0,1,0.010908955980759753,0.0,1,0,0.0,99.0,1.0,0,0,6,1,26,0.8168921147866407,0.3473857732324674,0.03116844565929918,0.06493426179020663,1,4.040815821696696,3.9866173578558106,577.5071428571433
224,-1,0,1,0.04451299086487611,0.0,1,0,0.0,99.0,1.0,0,0,6,1,26,0.759667071254398,0.768017534783836,0.18336694744334067,0.04683829635780748,1,4.603772689524266,2.9179262071420027,602.0714285714286
245,-1,0,1,0.25557573690082136,0.0,1,0,0.0,99.0,1.0,0,1,6,0,26,0.615770875941674,0.3851445281642586,0.029429933340098337,0.2372465678907662,1,2.615262628963403,2.3006979467273956,774.721428571429
255,-1,1,1,0.22658559338226178,0.0,1,1,2.860169833825989,0.04,4.062291309602826,0,1,6,0,26,0.8079618855613708,2.9145727876446026,0.14775268901801883,0.5118631494947946,1,3.483910849358788,3.9682375552133773,635.5214285714293
292,1,0,1,0.12179541060772053,0.0,1,0,0.0,99.0,1.0,2,0,6,0,26,0.7410685021061584,0.230574199918466,0.028389509960498528,0.0878162561990375,1,9.084348995545101,2.179520047070686,679.8285714285713
293,1,0,1,0.13496708537267119,0.0,1,0,0.0,99.0,1.0,2,0,6,0,26,0.7011090072842522,0.3811950996341953,0.062292500941232856,0.11420291839226024,1,9.450091841507799,2.78080113176119,626.0785714285713
302,1,0,1,0.21105703232248144,0.0,1,0,0.0,99.0,1.0,2,0,6,0,26,0.36727272726161103,0.8236584628904416,0.40044926993634905,0.32916510670160026,1,21.532359915137935,5.225408710844891,286.17857142857093
317,1,0,1,0.19231544300396994,0.0,1,0,0.0,99.0,1.0,2,0,6,0,26,0.737483674325744,0.5155834670736634,0.2675488681399946,0.01598710284141209,1,17.03331765970309,6.524148586014641,212.67142857142866
